OBJECTID,ISLAND,REGION,PROVINCE,DEO,CONG_DIST,ROAD_NAME,LOCATION,BRIDGE_ID,BR_NAME,BR_LENGTH,BR_TYPE1,BR_TYPE2,YR_CONST,ACTUAL_YR,CONDITION,NUM_ABUTT,NUM_PIER,NUM_SPAN,BR_WIDTH,BR_LIFE,LOAD_LIMIT,HT_OVER,HT_UNDER,L_SDWALK,R_SDWALK,NUM_LANES,BNR,CROSSING,BRGY,MUN,REMARKS,created_user,created_date,last_edited_user,last_edited_date,ROAD_SEC_CLASS,SEC_ID,SEC_LENGTH,ROUTE_NO,MaxBRHT,MaxPierHT,COMMENTS
"375",Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,Apayao (Lone District),Claveria-Calanasan-Kabugao Rd,"87436",B04840LZ,Abisan Br.,21,Concrete,Permanent,Year Known,"2017",Good,"2","0","1",9.7,"0",0,0,0,1.2,1.2,"2",0,River/Waterway (fresh water),Kabugawan,Calanasan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00630LZ,"0","0",5.87,0,"CLEAN WATERWAYS,CLEAN CARRIAGEWAY"
"376",Luzon,Cordillera Administrative Region,Mt.Province,Mt. Province District Engineering Office,Mountain Province (Lone District),Baguio-Bontoc Rd,"32856",B04953LZ,Sabangan Br.,37,Steel,Permanent,Year Known,"2018",Good,"2","0","1",8.9,"45",20,6,8,0.8,0.8,"2",0,River/Waterway (fresh water),Nacagang,Sabangan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00504LZ,"0","204",8,0,"None, Newly Constructed Bridge"
"377",Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,Kalinga (Lone District),Bulo National Rd (Agbannawag-Bulo-Callagdao Sect),"8352",B02797LZ,Bulo Br. 3,26,Concrete,Permanent,Year Known,"1973",Fair,"2","0","1",12.35,"40",20,0,0,0.8,0.8,"4",0.09434,River/Waterway (fresh water),Bulo,Tabuk, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00579LZ,"0","0",5.4,0,Replace expansion joint to prevent bearing from corrosion.
"378",Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,Apayao (Lone District),Apayao (Calanasan)-Ilocos Norte Rd,"540",B04288LZ,Tabuan Br.,21,Concrete,Permanent,Year Known,"2013",Fair,"2","0","1",9.37,"0",0,0,0,0.5,0.5,"2",0.037736,River/Waterway (fresh water),Tanglagan,Calanasan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00626LZ,"0","0",10.9,0,asphalt overlay @ bridge deck and approaches
"379",Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,Manila City (Third District),C Palanca St,"514",B02271LZ,C. Palanca Br.,14,Concrete,Permanent,Year Known,"1975",Fair,"2","0","1",13.5,"15",15,0,0,1.67,2.06,"2",0.15942,Canal,384 Zone 39,Manila, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S02252LZ,"0","0",9.6,0,"Scaling of deck slab, sidewalk with rebar exposure and RSB exposure of Arch mani member"
"380",Luzon,Cordillera Administrative Region,Mt.Province,Mt. Province District Engineering Office,Mountain Province (Lone District),Baguio-Bontoc Rd,"40133",B03268LZ,Alab Br. 1,5,Concrete,Permanent,Year Known,"1972",Good,"2","0","1",7.57,"0",0,0,0,0,0,"2",0,River/Waterway (fresh water),Alab Proper,Bontoc, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00504LZ,"0","204",5.4,0,BRIDGE IS STILL IN GOOD CONDITION. IT ONLY NEEDS ROUTINARY MAINTENANCE.
"381",Luzon,Cordillera Administrative Region,Abra,Abra District Engineering Office,Abra (Lone District),Abra-Ilocos Norte Rd,"3055",B03440LZ,Calaba Br.,906,Steel,Permanent,Year Known,"2005",Good,"2","14","15",9.8,"40",20,5.7,10,0.84,0.77,"2",0.00063,River/Waterway (fresh water),Calaba And Mudeng,Bangued And La Paz, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00588LZ,"0","0",17.5,11.9,Condition is Good.
"382",Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,Pasig City (Lone District),Sn Joaquin-Buting Rd,"1074",B01368LZ,Buting Br.,25,Concrete,Permanent,Year Known,"1995",Fair,"2","0","1",22.5,"30",20,0,0,2,2,"4",0.125786,River/Waterway (fresh water),Buting,Pasig City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03935LZ,"0","190",5.5,0,Decks need cleaning & sweeping. continuation of retrofitting are included in CY2018
"383",Luzon,Cordillera Administrative Region,Benguet,Benguet 2nd District Engineering Office,Benguet (Lone District),Cong. Andres Acop Cosalan Rd,"11047",B02672LZ,Toking Br.,11,Concrete,Permanent,Year Known,"2010",Fair,"2","0","1",10,"32",20,0,0,0.7,0.7,"2",0.056604,River/Waterway (fresh water),Poblacion,Buguias, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00381LZ,"0","207",5.7,0,Minor scaling was observed.
"384",Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,Taguig City (Second District),C-5/Sampaguita East & West Interchange,"118",B04747LZ,C-5/Sampaguita East & West Interchange,459,Concrete,Permanent,Post 1970,"1970",Fair,"2","7","8",8.3,"15",0,0,4.88,0,0,"2",0.11534,Road,Brgy. Pembo,Makati City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S04004LZ,"0","0",6,5,"Cleaning/Sweeping and Re-Painting of Bridge Components, Repair of sited defects"
"385",Luzon,Cordillera Administrative Region,Ifugao,Ifugao 2nd District Engineering Office,Ifugao (Lone District),Jct Potia-Mt Province Bdry Rd,"15411",B02215LZ,Cosile Br.,40,Concrete,Permanent,Year Known,"1972",Good,"2","1","2",9.6,"20",15,0,7.6,1.2,1,"2",0.057471,River/Waterway (fresh water),Pinto,Aguinaldo, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00488LZ,"0","0",9.03,7.8,Conduct Routine Maintenance  and Inspection. Asphalt overlay was completed.
"386",Luzon,Cordillera Administrative Region,Benguet,Baguio City District Engineering Office,Baguio City (Lone District),Kennon Rd,"4495",B00919LZ,Kennon Br. 2,49,Steel,Permanent,Year Known,"1968",Good,"2","2","3",9.6,"30",15,0,0,0.7,0.7,"2",0,River/Waterway (fresh water),Camp 7,Baguio City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00407LZ,"0","54",7.45,7.1,Routine Maintenance - Cleaning of Bridge Waterways and Deck
"387",Luzon,National Capital Region,Metro Manila,Metro Manila 3rd District Engineering Office,Caloocan City (First District),A Mabini St,"168",B01742LZ,Casili Br.,12,Concrete,Permanent,Year Known,"2004",Good,"2","0","1",12.2,"45",20,0,0,0.75,0.75,"2",0,Canal,Barangay 33,Caloocan City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S02084LZ,"0","0",4.1,0,Bridge Cleaning
"388",Luzon,Cordillera Administrative Region,Mt.Province,Mt. Province District Engineering Office,Mountain Province (Lone District),Mt Prov-Ilocos Sur via Kayan Rd,"2788",B04952LZ,Cabunagan Br. 2,16,Concrete,Permanent,Year Known,"2018",Good,"2","0","1",9.52,"50",0,0,9,1.1,1.1,"2",0,Canal,Cabunagan,Tadian, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00531LZ,"0","0",9,0,newly constructed bridge
"389",Luzon,Cordillera Administrative Region,Abra,Abra District Engineering Office,Abra (Lone District),Abra-Cervantes Rd,"16835",B04734LZ,Masiwsiw Br.,25,Concrete,Permanent,Year Known,"2006",Good,"2","0","1",9.75,"40",0,0,0,0.85,0.85,"2",0.012579,River/Waterway (fresh water),San Ramon,Manabo, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00603LZ,"0","0",6.05,0,Condition is Good.
"390",Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,Pasig City (Lone District),Pasig-Pateros Rd,"1320",B01878LZ,Bambang Br.,168,Concrete,Permanent,Year Known,"1992",Fair,"2","3","4",12.3,"30",20,0,5.5,1.5,1.5,"2",0.152466,River/Waterway (fresh water),Bambang/San Joaquin,Pasig City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03926LZ,"0","142",7.5,5.5,Needs immediate painting to avoid further damages
"391",Luzon,Cordillera Administrative Region,Benguet,Benguet 2nd District Engineering Office,Benguet (Lone District),Gov. Bado  Dangwa National Rd,"3173",B04228LZ,Suyoc Br.,52,Steel,Permanent,Year Known,"2012",Fair,"2","0","1",9.48,"40",20,0,0,9.73,9.74,"2",0.132075,River/Waterway (fresh water),Caponga,Tublay, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00398LZ,"0","0",8.3,0,Scaling was observed and needs sealant at expansion joint.
"392",Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,City Of Parañaque (First District),Quirino Avenue,"1715",B01815LZ,Don Galo Br.,77,Concrete,Permanent,Year Known,"2004",Fair,"2","2","3",11.5,"15",20,0,0,1.1,1,"3",0.220386,Canal,Don Galo,Parañaque City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S04532LZ,"0","62",0,7.6,Bride for Strengthening
"393",Luzon,National Capital Region,Metro Manila,Quezon City 1st District Engineering Office,Quezon City (First District),Epifanio Delos Santos Ave (EDSA),"2129",B03257LZ,Culiat Br. 1 (SB),13,Concrete,Permanent,Year Known,"1964",Good,"2","0","1",21.7,"20",20,0,7.4,0,2.5,"5",0.013333,Canal,Barangay Magsaysay,Quezon City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S05128LZ,"0","1",8.2,0,Bridge was retrofitted year 2018
"394",Luzon,Cordillera Administrative Region,Mt.Province,Mountain Province 2nd District Engineering Office,Mountain Province (Lone District),Jct Talubin-Barlig-Natonin-Paracelis-Calaccad Rd,"37155",B04609LZ,Lunas Br.,15,Concrete,Permanent,Year Known,"2015",Good,"2","0","1",9.6,"50",15,0,0,1.1,1.1,"2",0,River/Waterway (fresh water),Lunas,Barlig, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S03997LZ,"0","0",6.6,0,New Constructed Bridge
"395",Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,Apayao (Lone District),Kabugao-Pudtol-Luna-Cagayan Bdry Rd,"15264",B04617LZ,Nagan Br.,63,Concrete,Permanent,Year Known,"2015",Good,"2","2","3",9.6,"0",19,0,0,1.1,1.1,"2",0,Not Specified,Lydia,Pudtol, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00628LZ,"0","223",7.67,5.93,clean waterways
"396",Luzon,Cordillera Administrative Region,Benguet,Benguet 1st District Engineering Office,Benguet (Lone District),"Asin (Km 8)-Nangalisan-Sn Pascual, Tuba, Benguet-La Union Bdry Rd","11306",B04277LZ,Nangalisan Br.,19,Concrete,Permanent,Year Known,"1973",Fair,"2","0","1",9.37,"27",0,0,0,0.65,0.65,"2",0.081761,River/Waterway (fresh water),Nangalisan,Tuba, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00384LZ,"0","0",7.6,0,Rehabilitation/Major repair of bridge was implemented under FY 2020 GAA. Defects on bridge deck which were not included for repair were noted.
"397",Luzon,Cordillera Administrative Region,Kalinga,Upper Kalinga District Engineering Office,Kalinga (Lone District),Kalinga-Abra Rd,"21459",B04382LZ,Saleng Br.,13,Concrete,Permanent,Year Known,"2011",Fair,"2","0","1",8.9,"41",0,0,0,0.85,0.85,"2",0.138365,River/Waterway (fresh water),Balantoy,Balbalan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00561LZ,"0","204",6.7,0,Major maintenance of bridge is inluded under GAA 2020
"398",Luzon,Cordillera Administrative Region,Apayao,Apayao 1st District Engineering Office,Apayao (Lone District),Conner-Kabugao Rd,"5340",B02243LZ,Buluan Br.,8,Concrete,Permanent,Year Known,"1977",Fair,"2","0","1",8.84,"15",15,0,0,0.48,0.49,"2",0.123967,River/Waterway (fresh water),Malama,Conner, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00616LZ,"0","222",7,0,Routinary sweeping. Seal cracks with pressurized concrete epoxy. Minor repair on concrete structure.
"399",Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,Kalinga (Lone District),Mt Province Bdry-Calanan-Pinukpuk-Abbut Rd (Cagaluan-Calanan Sect),"22235",B02110LZ,Ngipen Br.,21,Concrete,Permanent,Year Known,"1973",Fair,"2","2","3",9,"20",15,0,0,0.75,0.75,"2",0.037736,River/Waterway (fresh water),Bantay,Tabuk, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00602LZ,"0","222",3.4,3.4,Cleaning of bridge waterway to prevent main member from current flow of river.
"400",Luzon,Cordillera Administrative Region,Apayao,Apayao 1st District Engineering Office,Apayao (Lone District),Conner-Kabugao Rd,"6667",B02250LZ,Ugatong Br.,15,Steel,Permanent,Year Known,"2004",Good,"2","0","1",9.67,"15",15,0,0,0.67,0.67,"2",0.028302,River/Waterway (fresh water),Kabugao,Lone District Apayao, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00618LZ,"0","222",5.12,0,"Minor repair on concete structure, seal cracks with pressurized concrete epoxy"
"401",Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,Manila City (First District),Juan Luna St,"922",B01789LZ,Juan Luna Br. 1,14,Concrete,Permanent,Year Known,"1975",Fair,"2","0","1",10.7,"10",15,0,0,1.62,1.75,"3",0.15873,Canal,287 Zone 27,Manila, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S02304LZ,"0","0",2,0,Crack and spalling of girder and RSB exposure of railings
"402",Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,Pasig City (Lone District),Shaw Blvd,"1216",B01889LZ,Maligaya Br.,6,Concrete,Permanent,Year Known,"2012",Fair,"2","0","1",18.6,"25",20,0,0,1,1,"4",0.056604,Canal,Addition Hills,Mandaluyong City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03955LZ,"0","141",0,0,deck need only sweeping and cleaning only.
"403",Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,Apayao (Lone District),Claveria-Calanasan-Kabugao Rd,"66592",B01058LZ,Malinao Br.,19,Concrete,Permanent,Year Known,"2004",Fair,"2","0","1",7.95,"0",18,0,0,0.6,0.6,"2",0.138365,River/Waterway (fresh water),Naguilian,Calanasan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00630LZ,"0","0",9.85,0,"plaster the rebar exposure on deck girder,asphalt overlay"
"404",Luzon,Cordillera Administrative Region,Kalinga,Upper Kalinga District Engineering Office,Kalinga (Lone District),Kalinga-Abra Rd,"34036",B00964LZ,Binwaan Br.,16,Steel,Permanent,Year Known,"2006",Good,"2","0","1",9.84,"16",18,0,0,0.75,0.75,"2",0,River/Waterway (fresh water),Pantikian,Balbalan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00561LZ,"0","204",4.14,0,Repair/rehab of bridge was recently completed
"405",Luzon,Cordillera Administrative Region,Benguet,Baguio City District Engineering Office,Baguio City (Lone District),Rimando-Ambiong Rd,"354",B04283LZ,Rimando Br.,9,Steel,Permanent,Year Known,"1973",Good,"2","0","1",9,"30",0,0,0,0.85,0.85,"2",0,River/Waterway (fresh water),Abcr,Baguio City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00519LZ,"0","0",12.9,0,Routine Maintenance - Painting and Cleaning of Bridge Deck
"406",Luzon,National Capital Region,Metro Manila,Metro Manila 3rd District Engineering Office,Caloocan City (Second District),10th Ave West,"447",B01756LZ,10th Ave. Br.,5,Concrete,Permanent,Year Known,"1957",Fair,"2","0","1",13.1,"25",0,0,0,0.9,0.9,"2",0.07619,Canal,Brgy. 65/63,Caloocan City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S02167LZ,"0","0",0,0,No access to go under the bridge. Both side was cobvered with concrete box culvert
"407",Luzon,Cordillera Administrative Region,Benguet,Benguet 1st District Engineering Office,Benguet (Lone District),Benguet-Nueva Vizcaya Rd,"39087",B02372LZ,Acnip Br.,41,Concrete,Permanent,Year Known,"2008",Good,"2","0","1",10.5,"42",20,0,0,1.05,1.05,"2",0.012579,River/Waterway (fresh water),Ambuklao,Bokod, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00382LZ,"0","110",22,0,The bridge is in good condition in general but still needs routine and minimal major maintenance to maintain its present condition.
"408",Luzon,Cordillera Administrative Region,Mt.Province,Mountain Province 2nd District Engineering Office,Mountain Province (Lone District),Mt. Province-Isabela Rd,"19766",B04311LZ,Sinmakbot Br.,21,Concrete,Permanent,Year Known,"2016",Good,"2","0","1",9.6,"48",15,0,0,1.15,1.15,"2",0,River/Waterway (fresh water),Palitod,Paracelis, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00535LZ,"0","0",4.5,0,The bridge is still in good condition.
"409",Luzon,Cordillera Administrative Region,Abra,Abra District Engineering Office,Abra (Lone District),Abra-Cervantes Rd,"1735",B02231LZ,Baay Br.,85,Concrete,Permanent,1945-1970,"2000",Poor,"2","5","6",9,"5",0,0,0,0.8,0.8,"2",0.231293,River/Waterway (fresh water),San Isidro,Lagangilang, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00604LZ,"0","0",7.2,4.58,Construction On-going
"410",Luzon,National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,Malabon City (Lone District),Gov W Pascual Ave,"3772",B01758LZ,Potrero Br.,5,Concrete,Permanent,Year Known,"1960",Fair,"2","0","1",10.83,"0",15,3,1.38,0.6,0.6,"2",0.0625,River/Waterway (fresh water),Brgy. Potrero,Malabon City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S02195LZ,"0","0",3.38,0,"Completed Project GAA 2016; Need for asphalt pavement - deck slab"
"411",Luzon,Cordillera Administrative Region,Benguet,Benguet 2nd District Engineering Office,Benguet (Lone District),Cong. Andres Acop Cosalan Rd,"1923",B02669LZ,Amlimay Br.,25,Steel,Permanent,Year Known,"2010",Fair,"2","0","1",9.55,"40",20,0,0,0.75,0.75,"2",0.056604,River/Waterway (fresh water),Amlimay,Buguias, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00381LZ,"0","207",7.8,0,Minor scaling was observed.
"412",Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,City Of Makati (Second District),Edsa-Kalayaan-Fort Bonifacio Flyover,"84",B04314LZ,Edsa-Kalayaan-Fort Bonifacio Flyover (Ramp3),97,Concrete,Permanent,Year Known,"1998",Fair,"2","5","6",4.8,"20",20,0,0,0,0,"2",0.097002,Open Ground,Pinagkaisahan,Makati City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03489LZ,"0","191",6.6,6.6,Regular Sweeping and Repainting of Bridge Structures
"413",Luzon,National Capital Region,Metro Manila,Quezon City 1st District Engineering Office,Quezon City (First District),Visayas Ave,"1300",B02358LZ,Culiat Br. 3 (NB),11,Concrete,Permanent,Year Known,"1993",Fair,"2","0","1",10.86,"40",20,0,0,0.76,1.5,"3",0.051282,Canal,Barangay Vasra,Quezon City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S05467LZ,"0","0",3.7,0,Needs maintenance activities. Waterway needs to be desilted. For widening
"414",Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,Kalinga (Lone District),Rizal National Rd (Romualdez-Santor-Calaocan-Sn Pascual Sect),"6963",B02813LZ,Calaocan Br.,32,Steel,Permanent,Year Known,"1997",Fair,"2","0","1",9.6,"20",15,0,0,0.75,0.75,"2",0.042553,River/Waterway (fresh water),Calaocan,Rizal, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00573LZ,"0","0",8.85,0,Asphalt overlay to prevent deterioration of bridge deck.
"415",Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,Apayao (Lone District),Kabugao-Pudtol-Luna-Cagayan Bdry Rd,"29153",B02254LZ,Negre Br.,8,Concrete,Permanent,Year Known,"1999",Good,"2","0","1",8.96,"0",18,0,0,0.5,0.5,"2",0.037736,River/Waterway (fresh water),Dagupan,Luna, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00628LZ,"0","223",5.9,0,clean side and under the bridge
"416",Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,Taguig City (First District),PPTA Rd,"5609",B01881LZ,Hagonoy Br.,7,Concrete,Permanent,Year Known,"1981",Fair,"2","0","1",9,"25",15,0,0,1,1,"2",0.188679,Canal,Hagonoy,Taguig City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03972LZ,"0","142",3,0,needs repair/rehabilitation and painting
"417",Luzon,National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,City Of Muntinlupa (Lone District),PPTA Rd,"2480",B01824LZ,Lower Buli Br.,25,Concrete,Permanent,Year Known,"2006",Fair,"2","2","3",9.38,"0",0,0,0,0.94,0.94,"2",0,River/Waterway (fresh water),Buli,Muntinlupa, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03284LZ,"0","142",3.1,1.6,THE BRIDGE IS NEWLY RETROFITTED FY 2018. CARBON FIBER WAS INSTALLED. FUNDED FOR FY2021 FOR RETROFITTING/STRENGTHENING.
"418",Luzon,Cordillera Administrative Region,Apayao,Apayao 1st District Engineering Office,Apayao (Lone District),Abbut-Conner Rd,"22494",B02240LZ,Calafug Br.,63,Concrete,Permanent,Year Known,"2001",Good,"2","2","3",8.91,"20",15,0,0,0.4,0.4,"2",0,River/Waterway (fresh water),Calafug,Conner, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00614LZ,"0","222",8,6.58,"Retrofitted,Reflective cracks on Expansion joint of abutments and piers."
"419",Luzon,Cordillera Administrative Region,Ifugao,Ifugao 2nd District Engineering Office,Ifugao (Lone District),Ubao-Taang Road,"14935",B04884LZ,Monggayang Br,44,Steel,Permanent,Year Known,"2018",Good,"2","0","1",9.55,"48",0,0,0,0,0,"2",0,River/Waterway (fresh water),Monggayang,Aguinaldo, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S04916LZ,"0","0",9.5,0,Replacement of one lane Bridge to 2 lane Bridge with length of 47 meters including Stone Masonry slope protection completed on March 2018 funded under GAA 2016.
"420",Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,Kalinga (Lone District),Mt Province Bdry-Calanan-Pinukpuk-Abbut Rd (Calanan-Pinukpuk Sect),"21096",B02118LZ,Camalog Br.,15,Concrete,Permanent,Year Known,"1973",Fair,"2","0","1",8.36,"15",0,0,0,0.5,0.5,"2",0.093023,River/Waterway (fresh water),Camalog,Pinukpuk, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S05934LZ,"0","222",4.15,0,Asphalt overlay to prevent deck deterioration.
"421",Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,Apayao (Lone District),Claveria-Calanasan-Kabugao Rd,"24965",B01050LZ,Salagunting Br. 2,30,Concrete,Permanent,Year Known,"2004",Good,"2","1","2",8.9,"0",18,0,0,0.4,0.4,"2",0.029412,River/Waterway (fresh water),Eva Garden,Calanasan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00630LZ,"0","0",5.9,4.9,asphalt overlay @ bridge deck and approaches
"422",Luzon,Cordillera Administrative Region,Kalinga,Upper Kalinga District Engineering Office,Kalinga (Lone District),Kalinga-Abra Rd,"13977",B04381LZ,Gaday Br.,13,Concrete,Permanent,Year Known,"2011",Fair,"2","0","1",8.82,"40",0,0,0,0.78,0.84,"2",0.138365,River/Waterway (fresh water),Balenciagao Norte,Pasil, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00561LZ,"0","204",7.4,0,Crackings noted on Girders and slab
"423",Luzon,Cordillera Administrative Region,Apayao,Apayao 1st District Engineering Office,Apayao (Lone District),Kabugao-Pudtol-Luna-Cagayan Bdry Rd,"5691",B04240LZ,Nagyadan Br. 1,13,Concrete,Permanent,Year Known,"2016",Good,"2","0","1",8.4,"30",18,0,0,1.12,1.11,"2",0,River/Waterway (fresh water),Bulu,Kabugao, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00607LZ,"0","223",5.8,0,New bridge
"424",Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,Kalinga (Lone District),Kalinga-Cagayan Rd (Calanan-Enrile Section),"812",B04391LZ,Antonio Canao Br.,282,Concrete,Permanent,Year Known,"2010",Good,"2","7","8",9.54,"38",20,0,0,0.8,0.8,"2",0,River/Waterway (fresh water),Calanan,Tabuk City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00566LZ,"0","52",13.35,12.86,BIV to assess bridge deck and main member. The bridge is continuos deck.
"425",Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,Manila City (Third District),P Casal St,"267",B02272LZ,P. Casal Br.,39,Concrete,Permanent,Year Known,"1946",Good,"2","2","3",17.4,"20",15,0,0,1.95,2,"4",0,River/Waterway (fresh water),646/647 Zone 67, Manila, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S02533LZ,"0","180",0,1.42,Newly strengthen 2017 to 2018  then 2020
"426",Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,Pasig City (Lone District),Pasig Blvd,"214",B01773LZ,Vargas Br.,123,Concrete,Permanent,Year Known,"1992",Fair,"2","6","7",6.8,"25",20,0,0,1,1,"2",0.126882,River/Waterway (fresh water),Bagong Ilog/Kapasigan,Pasig City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S04527LZ,"0","142",9.35,5,repainting of bridge components to avoid further corrosion
